user_id,account_age_days,avg_transaction_value
USR474,43,12327.73
USR475,72,15312.59
USR476,331,9152.74
USR477,328,19836.33
USR478,82,12674.95
USR479,306,18004.42
USR480,335,7615.26
USR481,142,2340.04
USR482,143,13574.34
USR483,242,9109.97
USR484,189,12233.73
USR485,302,12270.97
USR486,135,18198.17
USR487,270,4665.31
USR488,109,5342.18
USR489,152,5793.28
USR490,148,6141.55
USR491,285,15833.98
USR492,280,17573.08
USR493,272,7704.05
USR494,364,4887.55
USR495,107,15335.66
USR496,345,17516.5
USR497,249,7565.46
USR498,51,12414.59
USR499,324,7706.31
USR500,278,7946.94
USR501,217,13409.1
USR502,335,6508.27
USR503,298,10237.16
USR504,175,17780.77
USR505,353,5319.47
USR506,107,12671.06
USR507,259,18512.29
USR508,230,10124.61
USR509,274,18444.24
USR510,323,12454.96
USR511,199,9041.78
USR512,108,7926.27
USR513,320,10784.75
USR514,255,3168.43
USR515,308,13467.02
USR516,338,18984.84
USR517,105,3857.53
USR518,354,14635.76
USR519,55,9248.01
USR520,358,2013.01
USR521,234,19188.26
USR522,266,7106.72
USR523,126,6035.38
USR524,107,4444.35
USR525,314,11648.46
USR526,163,13529.9
USR527,146,9402.31
USR528,285,6820.9
USR529,183,15275.23
USR530,259,11668.07
USR531,247,5903.03
USR532,213,17679.75
USR533,121,3874.11
USR534,205,9440.79
USR535,213,16445.13
USR536,318,15403.74
USR537,250,7165.82
USR538,334,18810.0
USR539,212,3198.13
USR540,268,6801.7
USR541,220,12404.76
USR542,280,8509.86
USR543,239,9563.28
USR544,259,15721.89
USR545,181,9078.19
USR546,173,5169.41
USR547,112,8535.83
USR548,238,4697.95
USR549,206,14999.43
USR550,57,8299.68
USR551,42,10468.11
USR552,39,16882.74
USR553,150,9944.7
USR554,253,14717.73
USR555,353,4170.78
USR556,202,6314.75
USR557,138,4802.68
USR558,183,15796.77
USR559,341,8226.39
USR560,185,8851.76
USR561,142,16112.48
USR562,91,4567.85
USR563,312,11771.12
USR564,153,17981.4
USR565,63,14843.91
USR566,67,11280.71
USR567,215,10629.17
USR568,297,10895.83
USR569,70,17299.81
USR570,279,2827.09
USR571,359,14899.76
USR572,326,19267.56
USR573,322,14167.88
USR574,288,16129.93
USR575,230,5073.94
USR576,47,3207.99
USR577,270,4126.05
USR578,185,5870.05
USR579,243,14133.03
USR580,71,12267.96
USR581,178,2145.28
USR582,309,3469.2
USR583,151,6659.7
USR584,157,19347.3
USR585,154,7400.7
USR586,48,6338.12
USR587,90,18569.23
USR588,236,4127.85
USR589,56,8176.8
USR590,290,19475.96
USR591,325,15233.79
USR592,85,5341.9
USR593,73,7124.85
USR594,94,16569.04
USR595,42,8845.03
USR596,55,12384.08
USR597,102,6282.35
USR598,253,2920.96
USR599,140,19271.56
USR600,91,17118.5
USR601,127,15539.28
USR602,214,4601.59
USR603,159,12068.22
USR604,71,18006.01
USR605,224,2875.15
USR606,141,2633.99
USR607,155,12127.92
USR608,299,19820.15
USR609,133,8370.27
USR610,91,4668.54
USR611,140,2424.15
USR612,80,11933.46
USR613,57,9793.08
USR614,126,12520.26
USR615,308,15054.98
USR616,185,18192.32
USR617,205,13594.69
USR618,221,3123.76
USR619,131,13988.56
USR620,64,18783.14
USR621,176,16721.39
USR622,280,11624.1
USR623,352,9251.08
USR624,330,3722.47
USR625,97,9199.76
USR626,100,11513.42
USR627,191,14515.83
USR628,91,2323.76
USR629,30,11670.34
USR630,246,7798.77
USR631,41,7178.06
USR632,163,13262.9
USR633,289,6576.12
USR634,145,8347.66
USR635,330,5428.42
USR636,300,14297.94
USR637,44,4511.11
USR638,354,6117.72
USR639,194,18806.24
USR640,200,18980.65
USR641,181,5307.32
USR642,364,18102.76
USR643,134,19707.53
USR644,166,3339.68
USR645,45,9932.33
USR646,45,9546.65
USR647,350,15264.37
USR648,333,16028.19
USR649,312,8480.66
USR650,100,10129.54
USR651,170,3240.54
USR652,186,18886.81
USR653,234,2259.84
USR654,91,16800.25
USR655,310,14976.79
USR656,200,3943.05
USR657,93,19916.04
USR658,237,12516.94
USR659,363,5027.95
USR660,168,7743.6
USR661,82,8123.56
USR662,136,16047.35
USR663,74,7052.55
USR664,261,17645.57
USR665,325,16704.63
USR666,278,3237.73
USR667,65,19836.03
USR668,223,17371.26
USR669,108,9091.95
USR670,63,10212.14
USR671,88,7083.31
USR672,360,6888.13
USR673,310,17059.14
USR674,61,8313.25
USR675,211,6012.53
USR676,46,6992.28
USR677,95,17697.85
USR678,208,5893.1
USR679,273,14094.55
USR680,167,12458.48
USR681,341,17171.87
USR682,90,19873.03
USR683,208,3103.55
USR684,222,16628.49
USR685,257,2817.26
USR686,63,8275.0
USR687,104,19081.6
USR688,92,12672.65
USR689,68,4755.27
USR690,344,3379.99
USR691,114,7888.79
USR692,197,3243.93
USR693,180,5798.8
USR694,121,16432.02
USR695,211,17686.87
USR696,192,5599.76
USR697,362,11906.0
USR698,179,14281.77
USR699,98,5958.75
USR700,133,11726.92
USR701,126,11281.65
USR702,136,3821.49
USR703,316,5011.65
USR704,310,3404.96
USR705,290,12891.39
USR706,250,7667.5
USR707,294,3458.9
USR708,268,10635.21
USR709,46,9587.65
USR710,313,7403.59
USR711,109,13743.28
USR712,328,13799.67
USR713,172,6710.66
USR714,89,12306.83
USR715,231,18850.17
USR716,362,3179.6
USR717,136,6834.62
USR718,198,15762.58
USR719,205,4361.57
USR720,192,9676.24
USR721,58,19997.12
USR722,160,17380.22
USR723,181,14472.59
USR724,339,3803.11
USR725,362,10580.59
USR726,339,3183.42
USR727,356,18297.87
USR728,261,7550.5
USR729,330,11903.06
USR730,359,5833.45
USR731,66,5902.8
USR732,99,2953.25
USR733,175,10706.87
USR734,209,4586.06
USR735,190,3603.51
USR736,181,4494.02
USR737,238,17017.24
USR738,107,12214.29
USR739,355,16559.94
USR740,203,3259.96
USR741,110,4624.97
USR742,279,13763.94
USR743,59,14332.57
USR744,99,16908.94
USR745,54,19974.25
USR746,99,19884.6
USR747,39,16154.89
USR748,111,18759.2
USR749,104,10591.56
USR750,105,2838.09
USR751,222,12793.49
USR752,303,17079.51
USR753,241,5190.42
USR754,201,14072.13
USR755,134,18375.32
USR756,266,18780.03
USR757,199,13767.92
USR758,357,12833.56
USR759,202,9824.62
USR760,338,4872.36
USR761,362,12942.42
USR762,36,4242.52
USR763,241,11914.24
USR764,208,19041.85
USR765,177,16776.69
USR766,207,10800.82
USR767,83,7545.76
USR768,293,6001.2
USR769,161,16291.6
USR770,89,16096.8
USR771,64,13962.26
USR772,252,7831.67
USR773,124,16351.57
USR774,320,19146.04
USR775,276,9669.63
USR776,289,11912.84
USR777,61,8158.57
USR778,318,12135.78
USR779,83,6358.21
USR780,345,3127.71
USR781,38,4840.62
USR782,244,7221.47
USR783,338,14078.68
USR784,141,2466.62
USR785,309,4969.91
USR786,262,13149.14
USR787,118,10329.14
USR788,252,7238.83
USR789,342,11872.52
USR790,213,12200.58
USR791,320,5986.66
USR792,286,17182.61
USR793,117,2652.56
USR794,358,2283.18
USR795,92,6424.03
USR796,65,14032.04
USR797,358,17639.95
USR798,96,5441.02
USR799,82,7770.67
USR800,133,6859.95
USR801,173,10113.34
USR802,327,15931.95
USR803,75,2000.8
USR804,360,15811.2
USR805,142,3191.05
USR806,63,3427.46
USR807,165,14931.2
USR808,356,16821.22
USR809,308,4640.46
USR810,280,4096.62
USR811,295,4676.23
USR812,347,10258.84
USR813,239,17077.88
USR814,328,8076.37
USR815,38,7791.52
USR816,41,6536.85
USR817,349,19156.81
USR818,185,2743.31
USR819,336,8346.08
USR820,63,10022.93
USR821,108,9524.62
USR822,214,2512.15
USR823,231,8541.04
USR824,322,18613.65
USR825,97,19669.73
USR826,34,7320.39
USR827,121,4607.56
USR828,47,12154.71
USR829,153,13984.08
USR830,289,8122.41
USR831,56,7242.18
USR832,153,19242.49
USR833,353,3489.52
USR834,124,14723.53
USR835,199,19633.32
USR836,356,5596.07
USR837,326,13314.69
USR838,350,17649.71
USR839,261,15830.84
USR840,174,16229.2
USR841,162,17372.19
USR842,353,14747.13
USR843,118,8033.74
USR844,91,3864.71
USR845,231,2126.82
USR846,220,2986.87
USR847,73,8817.15
USR848,207,9174.55
USR849,244,18831.82
USR850,309,13665.25
USR851,264,2368.88
USR852,331,3494.8
USR853,188,13899.29
USR854,136,2451.16
USR855,307,14242.55
USR856,325,19972.98
USR857,202,15900.9
USR858,230,11559.15
USR859,230,12259.97
USR860,174,16516.32
USR861,277,19064.43
USR862,361,17677.32
USR863,304,16659.03
USR864,283,13129.04
USR865,190,19853.88
USR866,146,18463.29
USR867,159,5948.07
USR868,248,8778.34
USR869,32,16106.52
USR870,110,10048.75
USR871,342,7456.39
USR872,260,5517.97
USR873,264,17220.35
USR874,300,2851.49
USR875,130,8032.36
USR876,196,4512.32
USR877,346,5015.28
USR878,97,3822.52
USR879,302,13524.48
USR880,267,14570.05
USR881,75,2868.68
USR882,363,17634.69
USR883,202,14338.89
USR884,355,3183.52
USR885,215,5313.07
USR886,198,3214.44
USR887,161,17177.3
USR888,205,18638.81
USR889,174,2129.27
USR890,351,3401.9
USR891,351,19104.78
USR892,79,7014.92
USR893,90,19340.91
USR894,333,17691.45
USR895,276,15011.02
USR896,282,12730.34
USR897,97,6497.5
USR898,313,17813.83
USR899,115,15919.79
USR900,331,12419.48
USR901,262,17403.91
USR902,257,6224.84
USR903,230,10100.35
USR904,45,10705.88
USR905,145,16223.38
USR906,317,18391.92
USR907,334,6615.51
USR908,299,16843.54
USR909,213,5014.79
USR910,52,8628.43
USR911,124,6518.67
USR912,152,3958.31
USR913,133,4271.32
USR914,358,18236.94
USR915,354,19840.01
USR916,308,11486.42
USR917,251,15018.49
USR918,232,14703.57
USR919,321,18362.97
USR920,239,9257.73
USR921,204,5856.11
USR922,278,7901.55
USR923,307,12035.43
USR924,235,3288.14
USR925,69,10469.52
USR926,305,7788.84
USR927,216,19837.55
USR928,151,3594.47
USR929,59,9211.97
USR930,78,13104.05
USR931,313,12344.77
USR932,357,19181.02
USR933,256,9104.1
USR934,304,17670.03
USR935,35,6800.29
USR936,222,15181.43
USR937,44,7968.04
USR938,72,11013.77
USR939,261,13626.89
USR940,176,5103.11
USR941,250,19498.06
USR942,137,9019.54
USR943,131,12964.9
USR944,304,5908.91
USR945,341,17438.1
USR946,130,10020.17
USR947,196,13930.1
USR948,205,14346.79
USR949,129,3103.01
USR950,217,10741.23
USR951,318,2198.2
USR952,223,12749.06
USR953,114,4726.61
USR954,247,3181.19
USR955,167,16142.41
USR956,68,13556.57
USR957,149,10577.2
USR958,343,17132.68
USR959,342,16240.8
USR960,231,11219.38
USR961,137,11453.53
USR962,66,19514.61
USR963,112,3618.43
USR964,131,11375.27
USR965,48,16594.08
USR966,51,11642.25
USR967,228,16913.08
USR968,183,7904.64
USR969,216,8118.18
USR970,68,15318.12
USR971,163,14594.67
USR972,184,19587.11
USR973,106,7171.45
USR974,355,4173.33
USR975,93,3192.87
USR976,232,6014.98
USR977,58,8129.0
USR978,229,5447.98
USR979,72,8148.74
USR980,125,16622.38
USR981,174,11276.88
USR982,255,16288.06
USR983,120,8579.89
USR984,309,17932.48
USR985,290,13747.15
USR986,135,16154.66
USR987,156,13616.65
USR988,316,10519.41
USR989,231,14794.4
USR990,143,7475.08
USR991,74,17180.38
USR992,147,2064.38
USR993,70,16242.79
USR994,252,11592.43
USR995,98,7936.66
USR996,149,6964.09
USR997,140,10023.69
USR998,263,2476.62
USR999,225,12830.41
USR1000,202,14793.08
USR1001,136,3909.8
USR1002,215,13046.25
USR1003,96,15018.91
USR1004,227,5494.12
USR1005,211,12232.25
USR1006,146,14133.47
USR1007,88,12435.49
USR1008,45,19390.79
USR1009,53,19603.07
USR1010,163,15734.44
USR1011,165,18832.66
USR1012,337,6793.76
USR1013,264,4324.83
USR1014,228,19714.31
USR1015,235,16258.38
USR1016,274,16589.33
USR1017,216,14416.26
USR1018,68,7950.43
USR1019,147,14387.21
USR1020,350,9465.61
USR1021,343,9790.32
USR1022,136,6780.16
USR1023,337,9381.72
USR1024,166,14449.35
USR1025,364,4181.4
USR1026,74,13242.76
USR1027,144,5415.87
USR1028,122,2099.97
USR1029,217,19522.77
USR1030,239,7812.34
USR1031,273,15640.89
USR1032,348,12997.55
USR1033,63,4484.04
USR1034,191,14819.62
USR1035,187,8886.5
USR1036,221,8983.54
USR1037,237,15292.43
USR1038,353,4103.47
USR1039,284,11909.53
USR1040,279,6065.26
USR1041,204,7995.36
USR1042,339,5094.71
USR1043,225,14893.3
USR1044,158,12644.87
USR1045,227,6691.77
USR1046,87,15104.76
USR1047,81,6356.54
USR1048,124,7702.95
USR1049,312,8672.19
USR1050,209,5043.62
USR1051,349,11712.91
USR1052,313,12242.12
USR1053,243,8750.4
USR1054,38,18275.12
USR1055,195,11896.71
USR1056,317,15685.15
USR1057,266,7638.87
USR1058,34,9159.87
USR1059,165,9696.88
USR1060,130,11076.84
USR1061,133,16298.48
USR1062,95,4673.88
USR1063,30,15774.56
USR1064,131,6429.23
USR1065,152,8638.33
USR1066,345,4374.6
USR1067,103,11947.24
USR1068,155,10408.88
USR1069,360,18834.03
USR1070,315,10782.16
USR1071,108,16135.53
USR1072,186,9552.97
USR1073,187,12760.77
USR1074,85,3669.42
USR1075,293,17922.5
USR1076,289,10159.29
USR1077,134,15555.44
USR1078,172,15168.07
USR1079,89,10018.3
USR1080,76,15555.24
USR1081,276,19043.91
USR1082,267,7310.59
USR1083,91,16623.23
USR1084,65,5826.9
USR1085,141,8484.37
USR1086,43,15233.24
USR1087,161,5189.16
USR1088,198,6941.36
USR1089,245,13732.05
USR1090,346,5902.3
USR1091,198,17650.57
USR1092,121,4920.65
USR1093,67,8994.34
USR1094,349,4077.71
USR1095,38,18761.22
USR1096,151,14033.36
USR1097,221,15409.19
USR1098,213,19773.96
USR1099,246,10870.86
